Entity,Code,Number of trees
Afghanistan,AFG,363350272
Albania,ALB,1075789312
Algeria,DZA,835195712
American Samoa,ASM,2733980
Andorra,AND,23110062
Angola,AGO,42050605056
Anguilla,AIA,128658.7422
Antigua and Barbuda,ATG,7557658.5
Argentina,ARG,50239651840
Armenia,ARM,401684608
Aruba,ABW,62972.375
Australia,AUS,76714500096
Austria,AUT,3075817472
Azerbaijan,AZE,774163904
Bahamas,BHS,172517984
Bahrain,BHR,3034
Bangladesh,BGD,962728512
Barbados,BRB,4538993.5
Belarus,BLR,5708252672
Belgium,BEL,528807456
Belize,BLZ,1206968576
Benin,BEN,2060631680
Bermuda,BMU,48299.10938
Bhutan,BTN,1851211264
Bolivia,BOL,59277484032
Bonaire Sint Eustatius and Saba,BES,1142610.125
Bosnia and Herzegovina,BIH,1971107584
Botswana,BWA,8090545152
Brazil,BRA,302000000000
British Indian Ocean Territory,IOT,42790.3
British Virgin Islands,VGB,1358791.25
Brunei,BRN,362057792
Bulgaria,BGR,2789703168
Burkina Faso,BFA,1020747520
Burundi,BDI,379962624
Cambodia,KHM,5550584320
Cameroon,CMR,19430844416
Canada,CAN,318000000000
Cape Verde,CPV,21382088
Cayman Islands,CYM,5952453
Central African Republic,CAF,24261509120
Chad,TCD,4657983488
Chile,CHL,19183013888
China,CHN,140000000000
Christmas Island,CXR,564691.8125
Colombia,COL,51425353728
Comoros,COM,71864784
Congo,COG,14476389376
Cook Islands,COK,2450550
Costa Rica,CRI,1907686400
Cote d'Ivoire,CIV,7268032000
Croatia,HRV,2347630080
Cuba,CUB,2295274496
Curacao,CUW,1503070
Cyprus,CYP,63088928
Czechia,CZE,2029378816
Democratic Republic of Congo,COD,101000000000
Denmark,DNK,303744992
Djibouti,DJI,1359610.875
Dominica,DMA,36888112
Dominican Republic,DOM,1076733696
Ecuador,ECU,10311026688
Egypt,EGY,68253608
El Salvador,SLV,408137600
Equatorial Guinea,GNQ,1677304448
Eritrea,ERI,303284512
Estonia,EST,1864416640
Eswatini,SWZ,910721280
Ethiopia,ETH,13831444480
Faeroe Islands,FRO,105559312
Falkland Islands,FLK,187163536
Fiji,FJI,157028640
Finland,FIN,24375093248
France,FRA,12061049856
French Guiana,GUF,5058747904
French Polynesia,PYF,29777000
Gabon,GAB,13914430464
Gambia,GMB,51556520
Georgia,GEO,2511206144
Germany,DEU,8627454976
Ghana,GHA,4554743808
Gibraltar,GIB,14662.18555
Greece,GRC,3228877056
Greenland,GRL,279451904
Grenada,GRD,10501244
Guadeloupe,GLP,56673696
Guam,GUM,1555332.875
Guatemala,GTM,4663245824
Guernsey,GGY,193486.0938
Guinea,GIN,8895597568
Guinea-Bissau,GNB,1023119744
Guyana,GUY,11807313920
Haiti,HTI,148971808
Honduras,HND,4725467136
Hong Kong,HKG,29745610
Hungary,HUN,983371136
Iceland,ISL,662753024
India,IND,35181322240
Indonesia,IDN,80665804800
Iran,IRN,2269082112
Iraq,IRQ,522965664
Ireland,IRL,708511936
Isle of Man,IMN,10181441
Israel,ISR,12726418
Italy,ITA,8801768448
Jamaica,JAM,433465696
Japan,JPN,18616717312
Jersey,JEY,328057.4688
Jordan,JOR,2508885.75
Kazakhstan,KAZ,6124535808
Kenya,KEN,3048628736
Kiribati,KIR,998900
Kosovo,OWID_KOS,241295664
Kuwait,KWT,61079.32813
Kyrgyzstan,KGZ,1175723264
Laos,LAO,9979317248
Latvia,LVA,2497626112
Lebanon,LBN,28016004
Lesotho,LSO,677510656
Liberia,LBR,3352903168
Libya,LBY,27197640
Liechtenstein,LIE,6079023
Lithuania,LTU,1474331136
Luxembourg,LUX,55504704
Macao,MAC,19784.8
Madagascar,MDG,22365331456
Malawi,MWI,3177856512
Malaysia,MYS,15110054912
Maldives,MDV,283428
Mali,MLI,2619819264
Malta,MLT,22929.52539
Marshall Islands,MHL,217172
Martinique,MTQ,39376968
Mauritania,MRT,114301136
Mauritius,MUS,32607918
Mayotte,MYT,10231596
Mexico,MEX,56782200832
Micronesia (country),FSM,12413473
Moldova,MDA,136184752
Monaco,MCO,10386.3
Mongolia,MNG,7409460736
Montenegro,MNE,589421888
Montserrat,MSR,2752203.5
Morocco,MAR,518983360
Mozambique,MOZ,25697536000
Myanmar,MMR,24495407104
Namibia,NAM,2277666048
Nauru,NRU,27146.5
Nepal,NPL,3355659520
Netherlands,NLD,343683840
New Caledonia,NCL,865954880
New Zealand,NZL,11468801024
Nicaragua,NIC,3939762176
Niger,NER,206806704
Nigeria,NGA,10944556032
North Korea,PRK,5014459392
North Macedonia,MKD,644802752
Northern Cyprus,OWID_CYN,11613969
Northern Mariana Islands,MNP,3686553.25
Norway,NOR,14247255040
Oman,OMN,10066433
Pakistan,PAK,992235520
Palau,PLW,13204823
Palestine,PSE,1045690.188
Panama,PAN,2888506880
Papua New Guinea,PNG,22899769344
Paraguay,PRY,19003179008
Peru,PER,46197633024
Philippines,PHL,6312320000
Poland,POL,6437707776
Portugal,PRT,3126839552
Puerto Rico,PRI,215847936
Qatar,QAT,12644
Reunion,REU,117386000
Romania,ROU,4836278272
Russia,RUS,642000000000
Rwanda,RWA,348708384
Saint Barthlemy,,105854.3672
Saint Helena,SHN,6161198
Saint Kitts and Nevis,KNA,7343199.5
Saint Lucia,LCA,21270334
Saint Pierre and Miquelon,SPM,6063650
Saint Vincent and the Grenadines,VCT,12621922
Samoa,WSM,40661400
San Marino,SMR,475865.75
Sao Tome and Principe,STP,59314388
Saudi Arabia,SAU,2713285.5
Senegal,SEN,1306909952
Serbia,SRB,1657069056
Seychelles,SYC,2028620.625
Sierra Leone,SLE,2272701952
Singapore,SGP,2453930
Sint Maarten (Dutch part),SXM,151533.6719
Slovakia,SVK,1493392256
Slovenia,SVN,1420915456
Solomon Islands,SLB,1260014976
Somalia,SOM,879845440
South Africa,ZAF,17791358976
South Korea,KOR,3826071296
South Sudan,SSD,27408459776
Spain,ESP,11391461376
Sri Lanka,LKA,2437015296
Sudan,SDN,3053661440
Suriname,SUR,8310388736
Sweden,SWE,31008122880
Switzerland,CHE,1107665792
Syria,SYR,100087952
Taiwan,TWN,2291593216
Tajikistan,TJK,148119840
Tanzania,TZA,20814235648
Thailand,THA,8345450496
Timor,TLS,512039872
Togo,TGO,1023098432
Tokelau,TKL,18404.4
Tonga,TON,5572860
Trinidad and Tobago,TTO,207744976
Tunisia,TUN,151323136
